LotArea,Utilities,OverallQual,OverallCond,YearRemodAdd,ExterQual,ExterCond,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,GarageFinish,GarageArea,GarageQual,GarageCond,OpenPorchSF,EnclosedPorch,ScreenPorch,YrSold,SalePrice,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,MSSubClass_1-1/2 STORY - UNFINISHED ALL AGES,MSSubClass_1-1/2 STORY FINISHED ALL AGES,MSSubClass_1-STORY 1945 & OLDER,MSSubClass_1-STORY 1946 & NEWER ALL STYLES,MSSubClass_1-STORY PUD (Planned Unit Development) - 1946 & NEWER,MSSubClass_1-STORY W/FINISHED ATTIC ALL AGES,MSSubClass_2 FAMILY CONVERSION - ALL STYLES AND AGES,MSSubClass_2-1/2 STORY ALL AGES,MSSubClass_2-STORY 1945 & OLDER,MSSubClass_2-STORY 1946 & NEWER,MSSubClass_2-STORY PUD - 1946 & NEWER,MSSubClass_DUPLEX - ALL STYLES AND AGES,MSSubClass_PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,MSSubClass_SPLIT FOYER,MSSubClass_SPLIT OR MULTI-LEVEL
11200,3,5,5,1965,3,3,5,1,1040,0,3,1,3,5,5,1.0,384,3.0,3.0,0,0,0,2008,129500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11924,3,9,5,2006,5,3,5,1,1182,1142,4,1,5,11,5,3.0,736,3.0,3.0,21,0,0,2006,345000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12968,3,5,6,1962,3,3,3,1,912,0,2,1,3,4,5,1.0,352,3.0,3.0,0,0,176,2008,144000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10652,3,7,5,2007,4,3,5,1,1494,0,3,1,4,7,5,2.0,840,3.0,3.0,33,0,0,2007,279500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10920,3,6,5,1960,3,3,3,1,1253,0,2,1,3,5,5,2.0,352,3.0,3.0,213,176,0,2008,157000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6120,3,7,8,2001,3,3,5,1,854,0,2,1,3,5,5,1.0,576,3.0,3.0,112,0,0,2007,132000,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11241,3,6,7,1970,3,3,5,1,1004,0,2,1,3,5,5,3.0,480,3.0,3.0,0,0,0,2010,149000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10791,3,4,5,1967,3,3,3,1,1296,0,2,2,3,6,5,1.0,516,3.0,3.0,0,0,0,2006,90000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13695,3,5,5,2004,3,3,5,1,1114,0,3,1,4,6,5,1.0,576,3.0,3.0,102,0,0,2008,159000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7560,3,5,6,1965,3,3,3,1,1339,0,3,1,3,6,4,1.0,294,3.0,3.0,0,0,0,2009,139000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14215,3,8,5,2006,4,3,5,1,1158,1218,4,1,4,9,5,2.0,853,3.0,3.0,154,0,0,2006,325300,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7449,3,7,7,1950,3,3,5,1,1108,0,3,1,4,6,5,1.0,280,3.0,3.0,0,205,0,2007,139400,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9742,3,8,5,2002,4,3,5,1,1795,0,3,1,4,7,5,2.0,534,3.0,3.0,159,0,0,2008,230000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4224,3,5,7,1976,3,3,3,1,1060,0,3,1,3,6,5,1.0,572,3.0,3.0,110,0,0,2007,129900,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8246,3,5,8,2001,3,4,5,1,1060,0,3,1,4,6,5,1.0,270,3.0,3.0,90,0,0,2010,154000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14230,3,8,5,2007,4,3,5,1,1600,0,3,1,4,7,5,2.0,890,3.0,3.0,56,0,0,2009,256300,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7200,3,5,7,2000,3,3,3,1,900,0,3,1,4,5,5,1.0,576,3.0,3.0,32,0,0,2010,134800,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11478,3,8,5,2008,4,3,5,1,1704,0,3,1,4,7,5,2.0,772,3.0,3.0,50,0,0,2010,306000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16321,3,5,6,1997,3,3,3,1,1600,0,2,1,3,6,5,2.0,319,3.0,3.0,258,0,0,2006,207500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6324,3,4,6,1950,3,3,2,0,520,0,1,1,2,4,5,1.0,240,2.0,3.0,0,87,0,2008,68500,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8500,3,4,4,1950,3,2,3,0,649,668,3,1,3,6,5,1.0,250,3.0,2.0,54,172,0,2008,40000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8544,3,5,6,2006,3,3,4,1,1228,0,3,1,4,6,5,1.0,271,3.0,3.0,65,0,0,2008,149350,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11049,3,8,5,2007,4,3,5,1,1234,0,3,1,4,7,5,2.0,484,3.0,3.0,30,0,0,2008,179900,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10552,3,5,5,1959,3,3,4,1,1700,0,4,1,4,6,5,2.0,447,3.0,3.0,38,0,0,2010,165500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7313,3,9,5,2005,5,3,5,1,1561,0,2,1,5,6,5,3.0,556,3.0,3.0,47,0,0,2007,277500,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13418,3,8,5,2005,4,3,5,1,1132,1320,4,1,4,9,5,3.0,691,3.0,3.0,32,0,0,2006,309000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10859,3,5,5,1995,3,3,5,1,1097,0,3,1,3,6,5,1.0,672,3.0,3.0,64,0,0,2009,145000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8532,3,5,6,1990,3,3,4,1,1297,0,3,1,3,5,5,3.0,498,3.0,3.0,0,0,0,2009,153000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7922,3,5,7,2007,3,4,3,1,1057,0,3,1,4,5,5,1.0,246,3.0,3.0,52,0,0,2010,109000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6040,3,4,5,1955,3,3,3,0,1152,0,2,2,2,6,5,0.0,0,0.0,0.0,0,0,0,2008,82000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8658,3,6,5,1965,3,3,5,1,1324,0,3,1,3,6,5,2.0,440,3.0,3.0,138,0,0,2006,160000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16905,3,5,6,1959,3,4,4,1,1328,0,2,1,3,5,5,2.0,308,3.0,3.0,104,0,0,2007,170000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9180,3,5,7,1983,3,3,4,1,884,0,2,1,4,5,5,2.0,504,3.0,4.0,0,0,0,2007,144000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9200,3,5,6,1980,3,3,3,1,938,0,3,1,3,5,5,1.0,308,3.0,3.0,0,0,0,2008,130250,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7945,3,5,6,1959,3,3,5,1,1150,0,3,1,3,6,5,2.0,300,3.0,3.0,0,0,0,2006,141000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7658,3,9,5,2005,5,3,5,1,1752,0,2,1,5,6,5,2.0,576,3.0,3.0,82,0,0,2010,319900,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12822,3,7,5,2003,4,3,5,1,1518,631,1,1,4,6,5,2.0,670,3.0,3.0,43,0,198,2009,239686,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11096,3,8,5,2006,4,3,5,1,1656,0,3,1,4,7,5,2.0,826,3.0,3.0,146,0,0,2007,249700,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4456,3,4,5,2008,3,3,4,1,736,716,2,3,3,8,5,0.0,0,0.0,0.0,0,102,0,2009,113000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7742,3,5,7,1966,3,3,5,1,955,0,3,1,3,6,5,1.0,386,3.0,3.0,0,0,0,2007,127000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13869,3,6,6,1997,3,3,4,1,794,676,3,1,3,6,5,3.0,388,3.0,3.0,75,0,0,2007,177000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6240,3,6,6,1950,3,3,3,1,816,0,3,1,3,6,5,1.0,528,3.0,3.0,0,0,0,2006,114500,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8472,3,5,5,1963,2,3,3,0,816,0,2,1,3,5,5,1.0,516,3.0,3.0,0,0,0,2010,110000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50271,3,9,5,1987,4,3,4,1,1842,0,0,1,4,5,5,3.0,894,3.0,3.0,72,0,0,2006,385000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7134,3,5,5,1955,3,3,3,1,1360,0,3,1,3,6,4,1.0,572,3.0,3.0,50,0,0,2007,130000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10175,3,6,5,1964,3,3,4,1,1425,0,3,1,3,7,5,2.0,576,3.0,3.0,0,0,0,2008,180500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2645,3,8,5,2000,4,3,5,1,983,756,3,1,4,7,5,3.0,480,3.0,3.0,0,0,0,2009,172500,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11645,3,7,5,2004,4,3,5,1,860,860,3,1,4,7,5,2.0,565,3.0,3.0,70,0,0,2006,196500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13682,3,10,5,2006,5,3,5,1,1426,1519,3,1,4,10,5,3.0,641,3.0,3.0,0,37,0,2006,438780,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7200,3,5,7,1972,3,3,5,1,780,0,2,1,3,4,5,1.0,352,3.0,3.0,0,0,0,2008,124900,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13072,3,6,5,2004,3,3,5,1,1158,0,3,1,4,5,5,1.0,576,3.0,3.0,50,0,0,2006,158000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7200,3,5,7,1996,3,3,3,0,581,530,3,1,2,6,5,1.0,288,3.0,3.0,0,144,0,2007,101000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6442,3,8,5,2006,4,3,5,1,1370,0,2,1,4,6,5,2.0,484,3.0,3.0,49,0,0,2007,202500,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10300,3,7,6,1950,3,3,4,1,902,808,3,1,3,9,5,1.0,480,3.0,3.0,11,64,0,2010,140000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9375,3,7,5,1998,3,3,5,1,1057,977,3,1,4,8,5,2.0,645,3.0,3.0,36,0,0,2009,219500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9591,3,8,5,2005,4,3,5,1,1143,1330,4,1,4,9,5,2.0,852,3.0,3.0,151,0,0,2007,317000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19900,3,7,5,1989,3,3,3,1,2207,0,3,1,3,7,4,2.0,576,3.0,3.0,0,0,0,2010,180000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10665,3,7,5,2003,4,3,5,1,1479,0,3,1,4,7,5,2.0,558,3.0,3.0,29,0,0,2007,226000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4608,3,4,6,1950,3,4,3,1,747,0,2,1,3,4,5,1.0,220,3.0,3.0,0,0,0,2010,80000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15593,3,7,4,1953,4,3,3,1,1304,983,3,1,3,7,5,3.0,667,3.0,3.0,21,114,0,2006,225000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13651,3,7,6,1973,3,4,5,1,2223,0,3,1,3,8,5,3.0,516,3.0,3.0,0,0,0,2007,244000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7599,3,4,6,2006,3,3,3,1,845,0,2,1,3,4,5,1.0,360,3.0,3.0,0,0,0,2007,129500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10141,3,7,5,1998,3,3,4,1,885,833,3,1,3,7,5,3.0,427,3.0,3.0,94,0,291,2009,185000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10200,3,5,7,2003,3,3,4,1,1086,0,3,1,3,6,5,1.0,490,3.0,3.0,0,0,0,2010,144900,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
